lat,long,city,country,state,suburb,tourism,historical
44.783,17.217,Banja Luka,Bosnia and Herzegovina,Republika Srpska,,,
44.55,18.7,Tuzla,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Novo Naselje,,
44.0667,18.2667,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,,,
45.5331,18.6331,Osijek,Croatia,,Mjesni odbor Cvjetno,,
44.0406,16.2067,,Croatia,,,,
46.2828,16.3639,Grad Varaždin,Croatia,,Brezje,,
46.0056,18.2328,Pécs,Hungary,,,,
46.45,16.967,,Hungary,,Kiskanizsa,,
46.8,16.3,,Slovenia,,,,
46.7,16.2,,Slovenia,,,,
