,lat,long,city,state,country,suburb
0,44.783,17.217,Banja Luka,Republika Srpska,Bosnia and Herzegovina,
1,44.55,18.7,Tuzla,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Novo Naselje
2,44.0667,18.2667,Kokošići,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Vares municipality
3,45.5331,18.6331,Osijek,Osijek-Baranja County,Croatia,Mjesni odbor Cvjetno
4,44.0406,16.2067,Kovačić,Šibenik-Knin County,Croatia,
5,46.2828,16.3639,Grad Varaždin,Varaždin County,Croatia,Brezje
6,46.0056,18.2328,Pécs,Baranya,Hungary,Pécsi járás
7,46.45,16.967,,Zala,Hungary,Kiskanizsa
8,46.8,16.3,Domanjševci / Domonkosfa,,Slovenia,
9,46.7,16.2,Sebeborci,,Slovenia,
